District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7813,34.5,36.25,10.3,95.3,21,2.7,9.4,64.08,70.28,13291,76948,11
Junction City Elementary (Trinity),Trinity,Elementary School District,63,74.6,74.6,N/A,N/A,15.8,1.4,4.5,64.29,76.74,15271,76081,11
Paradise Elementary (Stanislaus),Stanislaus,Elementary School District,198,62.1,69.7,34.3,N/A,19.8,1,7.5,64.34,62.79,11571,76081,11
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,10172,31.3,47,27.7,93.4,22.9,1.9,6.8,64.7,71.21,11632,89916,11
Pacific Grove Unified (Monterey),Monterey,Unified School District,2035,20.4,22.36,4.1,91.5,17.2,1.8,9,65.02,78.37,17747,101545,11
Mountain View-Los Altos Union High (Santa Clara),Santa Clara,High School District,4394,17,19.89,6.1,92.1,18.6,2.4,9.6,68.81,82.63,23072,136478,11
Poway Unified (San Diego),San Diego,Unified School District,36450,18.3,24.64,11.1,94.6,24.4,1.4,6.7,70.03,75.81,11284,79856,11
Acalanes Union High (Contra Costa),Contra Costa,High School District,5683,6.6,7.74,1.8,96.3,20.3,1.5,8.8,71.9,88.99,14765,93706,11
Kentfield Elementary (Marin),Marin,Elementary School District,1230,9.2,12.28,7.8,N/A,14.8,1.5,6.8,72.18,75.24,16071,87266,11
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,10041,16.3,19,4.2,93.5,23,2.7,6.2,72.44,77.78,10723,87394,11
Irvine Unified (Orange),Orange,Unified School District,35291,18.7,32.78,19.7,95.6,24.1,1,5.4,73.63,77.59,10999,84323,11
Douglas City Elementary (Trinity),Trinity,Elementary School District,175,50.3,51.43,2.9,N/A,16.5,0.6,5,73.95,68.33,11312,56029,11
Hermosa Beach City Elementary (Los Angeles),Los Angeles,Elementary School District,1345,4.1,5.58,1.7,N/A,21.9,1.3,4.8,74.67,79.28,10332,86462,11
San Carlos Elementary (San Mateo),San Mateo,Elementary School District,3445,6.4,12.25,8.3,N/A,19.5,1.8,3.9,75.27,78.97,13161,85861,11
Union Elementary (Santa Clara),Santa Clara,Elementary School District,5883,10.3,19.21,11.9,N/A,21.6,1.2,3.8,75.98,78.29,11781,87144,11
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,32138,5.7,10.27,5.4,97.4,22.6,1.5,5,77.51,81.49,10936,80847,11
Los Gatos-Saratoga Union High (Santa Clara),Santa Clara,High School District,3520,3.7,4.91,1.4,97.7,20.8,2,6.9,77.95,86.17,17141,112103,11
Fremont Union High (Santa Clara),Santa Clara,High School District,11022,12.9,17.37,7.3,95.5,22.5,2.1,7.5,78.09,81.72,15629,107229,11
Mill Valley Elementary (Marin),Marin,Elementary School District,2948,5.9,8.24,4,N/A,17,1.3,3.5,79.64,83.81,15972,91128,11
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,11992,10,17.25,10.2,95.4,15.4,1,5.9,81.66,81.48,22876,113022,11
Lakeside Joint (Santa Clara),Santa Clara,Elementary School District,71,5.6,12.68,7,N/A,14.2,2.6,4,82.76,82.14,33129,76081,11
Rancho Santa Fe Elementary (San Diego),San Diego,Elementary School District,601,3.5,7.32,4.5,N/A,10,0.5,8.9,83.37,89.93,22184,83476,11
Orinda Union Elementary (Contra Costa),Contra Costa,Elementary School District,2546,2.2,3.42,1.5,N/A,18.5,0.7,3.1,84.79,87.45,13453,75845,11
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4135,4.5,8.14,4,100,22.7,1.1,3.2,85.19,88.93,11554,88346,11
Hillsborough City Elementary (San Mateo),San Mateo,Elementary School District,1352,2.1,3.77,1.7,N/A,13.8,0.5,4.3,85.32,84.57,22336,109977,11
Junction Elementary (Siskiyou),Siskiyou,Elementary School District,26,73.1,73.08,N/A,N/A,13,15.2,29,0,15.79,17647,76081,10
Orange County Department of Education (Orange),Orange,County Office of Education (COE),6953,61,65.02,20.7,34.4,17,1.6,33.4,10,26.37,14708,97518,10
Taft Union High (Kern),Kern,High School District,1016,65.3,66.63,9.4,88.6,17.7,8.2,16.7,13.45,32.64,22272,88610,10
Mojave Unified (Kern),Kern,Unified School District,2800,87.5,88.82,14.9,84.5,21.7,5.8,25.8,13.76,25.83,12883,73594,10
Pleasant View Elementary (Tulare),Tulare,Elementary School District,471,88.1,95.75,70.5,N/A,24.2,4.2,5.8,14.6,17.76,13134,75938,10
Parlier Unified (Fresno),Fresno,Unified School District,3471,98.2,98.79,51.2,89.3,21.9,3,7.3,14.8,22.3,13088,69137,10
Banning Unified (Riverside),Riverside,Unified School District,4617,86.1,87.88,19.4,67.3,20.8,6,22.1,15.02,25.03,13656,74527,10
Eastside Union Elementary (Los Angeles),Los Angeles,Elementary School District,3275,87.5,90.02,26.2,N/A,20.7,7.6,19,15.32,27.23,13089,81028,10
Reef-Sunset Unified (Kings),Kings,Unified School District,2677,91.6,95.33,48,91.9,21.5,5.6,8.5,15.43,26.02,13150,73702,10
New Hope Elementary (San Joaquin),San Joaquin,Elementary School District,201,85.1,92.04,55.7,N/A,14.4,3.2,7.9,17.54,41.23,13525,60975,10
Willows Unified (Glenn),Glenn,Unified School District,1465,67.6,69.4,20.8,87.6,22.5,5.5,15.9,19.57,30.98,9810,83072,10
Palermo Union Elementary (Butte),Butte,Elementary School District,1296,75.4,76.7,11,N/A,19.5,5.6,14.3,20.33,32.02,11785,74689,10
Kernville Union Elementary (Kern),Kern,Elementary School District,911,73.4,73.87,1.8,N/A,19,6.6,23.5,20.36,37.1,13891,66006,10
Vallejo City Unified (Solano),Solano,Unified School District,14287,68,71.67,19.7,70.1,23.9,9.1,25.2,20.38,29.76,13798,71263,10
Thermalito Union Elementary (Butte),Butte,Elementary School District,1554,87.6,89.58,16.5,N/A,20.6,8.9,13.4,20.49,33.71,12503,83653,10
Arvin Union (Kern),Kern,Elementary School District,3087,95.5,97.34,66.7,N/A,19.7,1.2,9.7,21.48,32.65,12224,75658,10
Santa Rita Union Elementary (Monterey),Monterey,Elementary School District,3646,67.3,77.04,44.1,N/A,30.5,3.2,10.2,21.94,39.41,10114,72168,10
King City Union (Monterey),Monterey,Elementary School District,2702,90.7,93.34,58,N/A,19,5.9,10.8,22.5,31.45,11913,69235,10
Fairfax Elementary (Kern),Kern,Elementary School District,2682,89,91.13,36.4,N/A,19.7,2.2,10.7,22.64,32.56,12073,69963,10
Westmorland Union Elementary (Imperial),Imperial,Elementary School District,402,94,95.77,48.8,N/A,18.3,4.4,13.9,23.05,25.78,15005,72724,10
Rio Dell Elementary (Humboldt),Humboldt,Elementary School District,307,64.2,71.66,16,N/A,19.2,5.2,15.7,23.23,31.82,12733,76081,10
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,20106,77.1,81.14,41.9,89.4,24.3,4.7,10.9,23.35,32.38,15342,66666,10
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,31760,70.1,73.91,31.6,82.3,22.4,5.6,16.8,23.94,34.86,13509,74094,10
Le Grand Union Elementary (Merced),Merced,Elementary School District,371,71.3,78.05,43.4,N/A,19.5,5,4.6,24.37,29.24,14119,71902,10
Ukiah Unified (Mendocino),Mendocino,Unified School District,6606,77.2,78.2,25,87.7,18.2,7,16.5,24.45,36.99,13448,67505,10
