District,County,District_type,Enrollment,FRL_Perc,Disadv_Perc,EL_Perc,Grad_Perc,Teach_to_stud,Susp_Perc,Chronic_absent,Math_metAbove,ELA_metAbove,Per_pupil_exp,Teacher_salary,Avg Years Teaching (District)
Dixie Elementary (Marin),Marin,Elementary School District,1982,14.4,19.21,9.8,N/A,20.8,2.1,6.8,66.77,75.57,12843,84685,10
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3453,15.1,17.09,3.3,99.1,21.8,1.1,4.8,70.11,78.39,11609,84830,10
Larkspur-Corte Madera (Marin),Marin,Elementary School District,1546,10.9,11.97,5.3,N/A,18.4,1.3,4.4,73.65,78.91,14134,89157,10
Fremont Unified (Alameda),Alameda,Unified School District,35544,19.8,27.77,13.1,93.2,19.5,1.7,5.5,73.88,78.43,11251,92747,10
Clay Joint Elementary (Fresno),Fresno,Elementary School District,248,13.7,14.92,5.6,N/A,20.7,0,1.6,75.71,80.68,9965,67162,10
Las Lomitas Elementary (San Mateo),San Mateo,Elementary School District,1254,6.9,11.96,6.2,N/A,15.1,0.9,3.7,82.08,85.88,23223,108265,10
Woodside Elementary (San Mateo),San Mateo,Elementary School District,408,9.1,10.78,5.1,N/A,10.2,0,8,84.56,86.71,30076,109001,10
Los Altos Elementary (Santa Clara),Santa Clara,Elementary School District,4246,6,15.61,12.9,N/A,17.8,0.6,3.7,85.04,87.13,16025,86976,10
Colusa County Office of Education (Colusa),Colusa,County Office of Education (COE),34,91.2,94.12,20.6,45.5,1.3,20.8,50,0,0,14708,70322,9
Kings County Office of Education (Kings),Kings,County Office of Education (COE),357,63.9,68.63,17.9,22.5,7.2,9.3,46,0,0,14708,64188,9
Madera County Superintendent of Schools (Madera),Madera,County Office of Education (COE),760,84,87.92,27.6,23.2,9.9,2.9,58.7,0,11.79,14708,67183,9
Shasta County Office of Education (Shasta),Shasta,County Office of Education (COE),651,53.7,53.99,1.1,84.5,15.6,1.9,17.2,2.3,18.82,14708,76081,9
Merced County Office of Education (Merced),Merced,County Office of Education (COE),1362,78.8,83.31,22.3,59.2,11.9,9,45.8,2.6,15.77,14708,71430,9
San Benito County Office of Education (San Benito),San Benito,County Office of Education (COE),29,93.1,96.55,20.7,84.5,8.1,20.3,50.8,4.76,4.76,14708,76081,9
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,1019,89.1,89.1,0.4,86.3,15.3,17.3,33.6,10.57,17.12,21840,62224,9
Williams Unified (Colusa),Colusa,Unified School District,1335,90,93.41,47.8,98.9,20,6.5,12.3,13.38,25.46,12712,67443,9
South Monterey County Joint Union High (Monterey),Monterey,High School District,2421,80.8,82.24,17.3,87.8,23.6,13.2,15.8,14.39,52.59,13657,83907,9
Guadalupe Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,1283,75.7,85.65,51.1,N/A,20.2,5.2,8.9,14.55,25.37,12874,83598,9
Centinela Valley Union High (Los Angeles),Los Angeles,High School District,7473,72.8,79.08,17,87.8,18.8,2.2,32.3,15.21,47.32,16151,79316,9
Denair Unified (Stanislaus),Stanislaus,Unified School District,1273,55,59.62,16.9,96.7,20.6,N/A,N/A,16.09,26.62,13579,59611,9
Gonzales Unified (Monterey),Monterey,Unified School District,2369,77.1,82.74,39.5,94.9,21.3,4.6,9.9,16.74,28.77,13450,77698,9
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,304,56.3,57.24,3.3,72.7,15.6,8.2,31.6,17.5,40.63,18813,64430,9
Big Sur Unified (Monterey),Monterey,Unified School District,116,27.6,30.17,6,N/A,11.3,1.3,3.1,18.18,27.27,83877,46630,9
Victor Valley Union High (San Bernardino),San Bernardino,High School District,11327,84,85.28,10.9,82.4,26.3,8,13.8,18.63,37.49,13934,90624,9
Perris Union High (Riverside),Riverside,High School District,10893,70.3,72.81,19,91.3,25.2,6,19.1,19.25,43.36,13626,95428,9
Planada Elementary (Merced),Merced,Elementary School District,833,91,93.28,54.6,N/A,21.9,1.1,2.4,19.41,35.32,13731,76139,9
North Monterey County Unified (Monterey),Monterey,Unified School District,4595,84.9,87.14,40.2,89.1,21,4.1,14.4,20.48,34.37,13359,77557,9
Pittsburg Unified (Contra Costa),Contra Costa,Unified School District,11345,71.2,75.88,25.5,88.2,19.5,8.8,14.9,20.81,35.46,13132,74828,9
Belleview Elementary (Tuolumne),Tuolumne,Elementary School District,158,60.7,60.65,1.3,N/A,16.6,2.8,11.2,20.93,33.72,12844,76081,9
Lucerne Elementary (Lake),Lake,Elementary School District,253,88.9,89.72,7.1,N/A,16.6,4.6,16.4,20.93,29.65,12709,57112,9
Soledad Unified (Monterey),Monterey,Unified School District,4905,89.4,91.8,32.2,91.3,21.1,4.9,12.9,21.04,32.36,13088,71993,9
Wheatland Union High (Yuba),Yuba,High School District,784,44,44.64,1.8,85,22.2,7.3,13.2,23.58,50.47,12435,71480,9
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,24132,69.1,73.34,19.1,93.2,22.1,6.1,15.3,23.85,34.78,12267,85362,9
Julian Union High (San Diego),San Diego,High School District,106,46.2,46.23,1.9,86.2,11.5,11.7,16.5,25,65,28936,67102,9
Le Grand Union High (Merced),Merced,High School District,511,80,82,16.4,91.6,17.9,6.6,15.3,26.06,38.41,15588,67893,9
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1439,59.2,64.28,17.2,92.6,19.9,2.8,19,26.2,38.45,12691,69861,9
Arena Union Elementary (Mendocino),Mendocino,Elementary School District,313,70.9,72.84,18.8,N/A,20.6,5.5,30.5,26.42,41.03,14708,76081,9
Laytonville Unified (Mendocino),Mendocino,Unified School District,360,68.3,69.72,6.7,3.1,14.4,5.8,21.4,26.98,37.37,16874,57167,9
Robla Elementary (Sacramento),Sacramento,Elementary School District,2315,88,91.19,35.2,N/A,17.1,1.7,15.6,29,37.53,14038,76081,9
Mendota Unified (Fresno),Fresno,Unified School District,3543,97.9,98.48,58.7,74.3,22.2,3.7,12,29.34,41.5,12017,71200,9
Gateway Unified (Shasta),Shasta,Unified School District,2460,72.8,73.02,2.2,87.5,18.6,8.6,19.5,30.38,33.78,14067,66373,9
La Honda-Pescadero Unified (San Mateo),San Mateo,Unified School District,316,51.9,63.92,48.7,86.4,13,1.5,16,31.18,42.94,22286,73203,9
Desert Center Unified (Riverside),Riverside,Unified School District,29,75,78.57,3.4,N/A,14.5,9.1,22.6,31.25,37.5,48427,83976,9
Pioneer Union Elementary (Butte),Butte,Elementary School District,71,95.8,95.77,4.2,N/A,23.7,8,59.5,31.87,55,15840,63245,9
Delano Joint Union High (Kern),Kern,High School District,4219,91.4,92.04,26.4,95.6,22.2,4.4,11.5,32.39,61.6,14140,72292,9
Calistoga Joint Unified (Napa),Napa,Unified School District,865,68.7,77.8,44.9,96,16.4,4.6,6.8,33.48,51.22,19946,106954,9
Kerman Unified (Fresno),Fresno,Unified School District,5215,81,83.95,32.6,92.9,24.3,3.1,8.2,34.04,45.54,11062,74628,9
Muroc Joint Unified (Kern),Kern,Unified School District,1793,31.8,32.22,0.7,65.9,19.9,5.4,16.8,34.91,48.22,11382,65787,9
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,2167,56,56.92,5.4,90.5,19.5,4.1,10.8,34.99,50.61,14902,69446,9
Romoland Elementary (Riverside),Riverside,Elementary School District,4090,73.3,74.64,16.4,N/A,22.2,1.9,9.9,35.09,43.31,11081,86635,9
Red Bluff Union Elementary (Tehama),Tehama,Elementary School District,2044,79,80.06,12.5,N/A,19.5,5.5,13.8,35.32,39.46,11813,67642,9
Yucaipa-Calimesa Joint Unified (San Bernardino),San Bernardino,Unified School District,9982,50.8,51.77,7.6,90.5,20.8,3.8,12.1,36.33,49.25,11629,86565,9
Tres Pinos Union Elementary (San Benito),San Benito,Elementary School District,108,41.4,42.31,1.9,N/A,18,10,16.2,36.62,42.25,9430,76081,9
Beaumont Unified (Riverside),Riverside,Unified School District,10762,57.2,58.62,10.3,91.6,23.2,2.6,10.8,36.63,49.24,11384,79525,9
Pacheco Union Elementary (Shasta),Shasta,Elementary School District,664,60.4,60.84,3,N/A,19.3,6.3,15.6,37.1,40.79,11506,61401,9
Big Lagoon Union Elementary (Humboldt),Humboldt,Elementary School District,19,63.2,63.16,N/A,N/A,8.6,0,31.6,37.2,48.3,30446,76081,9
Blake Elementary (Kern),Kern,Elementary School District,13,69.2,69.23,15.4,N/A,13,0,7.1,37.2,48.3,15058,55235,9
Mariposa County Office of Education (Mariposa),Mariposa,County Office of Education (COE),45,84.4,84.44,N/A,84.5,7.5,3.4,35.8,37.2,48.3,14708,76081,9
Stanislaus Union Elementary (Stanislaus),Stanislaus,Elementary School District,3627,65.8,70.69,24.9,N/A,21.5,3,10,37.58,46.84,11671,81276,9
Grass Valley Elementary (Nevada),Nevada,Elementary School District,1801,59.5,60.02,4.7,N/A,18.6,4.7,13.8,37.87,47.85,12898,71949,9
Knightsen Elementary (Contra Costa),Contra Costa,Elementary School District,632,29.4,35.28,18.4,N/A,20.7,2.7,4.9,38.29,43.8,10284,70763,9
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11652,54.9,59.1,22.8,90.3,22.1,5.1,12.4,41.14,48.19,12260,80655,9
Lakeside Union Elementary (San Diego),San Diego,Elementary School District,5529,41.1,42.38,6.5,N/A,21.6,3,8.8,41.39,52.46,11903,76958,9
Big Springs Union Elementary (Siskiyou),Siskiyou,Elementary School District,182,57.7,58.24,6.6,N/A,18.2,1,10.5,41.8,42.15,12827,76081,9
Evergreen Union (Tehama),Tehama,Elementary School District,1217,57.9,58.26,3.5,N/A,21,7.1,8.6,42.21,52.51,11162,72125,9
Mattole Unified (Humboldt),Humboldt,Unified School District,50,54,60,6,84.5,7.1,0,14.3,42.31,61.54,34831,49987,9
Cutten Elementary (Humboldt),Humboldt,Elementary School District,610,44.7,45.07,2.5,N/A,19.9,0.8,5.9,43.44,51.56,9545,66431,9
Sylvan Union Elementary (Stanislaus),Stanislaus,Elementary School District,8261,50.8,54.7,15.3,N/A,21.5,3.9,8.5,44.06,52.39,10929,78093,9
Sonora Elementary (Tuolumne),Tuolumne,Elementary School District,742,46.8,48.79,5.8,N/A,19.6,7.8,10.8,45.2,54.14,9977,76081,9
Jefferson Elementary (San Joaquin),San Joaquin,Elementary School District,2358,31.7,38.97,15.6,N/A,21.4,2.5,6.6,45.6,58.27,10038,72470,9
Scotia Union Elementary (Humboldt),Humboldt,Elementary School District,176,67.6,68.75,5.7,N/A,17.6,3,17.6,45.83,50,13309,76081,9
Oak Grove Elementary (Santa Clara),Santa Clara,Elementary School District,9877,39.8,49.76,25.2,N/A,21.9,2.8,9.4,47.65,53.51,12485,85351,9
North Cow Creek Elementary (Shasta),Shasta,Elementary School District,253,29.3,29.25,N/A,N/A,20.2,3.6,4.1,48.21,58.08,10375,66118,9
Soquel Union Elementary (Santa Cruz),Santa Cruz,Elementary School District,1894,30.4,32.95,10.5,N/A,18.9,3,9.7,49.14,62.86,11137,66481,9
Orchard Elementary (Santa Clara),Santa Clara,Elementary School District,843,48.2,68.92,43.9,N/A,21.1,2.5,9.7,50.98,58.87,11588,86217,9
Norris Elementary (Kern),Kern,Elementary School District,4176,26.7,28.5,4.2,N/A,24,2,4.5,51.66,58.14,8435,76081,9
Kirkwood Elementary (Tehama),Tehama,Elementary School District,96,58.3,58.33,14.6,N/A,19.2,0,1.9,52.38,54.69,11127,76081,9
Alameda Unified (Alameda),Alameda,Unified School District,11260,30.3,36.03,14.2,91.9,20.3,2.6,9.4,59.74,69.43,13070,77156,9
Moreland (Santa Clara),Santa Clara,Elementary School District,4703,27.3,42.06,28.9,N/A,21.2,1.8,5.9,63.74,69.4,12025,84595,9
Coronado Unified (San Diego),San Diego,Unified School District,3057,9.9,12.63,3.2,94.7,20.7,3,6.1,67.6,78,13593,77735,9
Loma Prieta Joint Union Elementary (Santa Clara),Santa Clara,Elementary School District,497,5.6,8.25,3.4,N/A,17.9,2.4,8.3,69.94,76.34,14823,72411,9
Albany City Unified (Alameda),Alameda,Unified School District,3682,20.6,30.36,15.8,94.7,19.7,1.9,6.4,72.02,79.22,13150,76931,9
Burlingame Elementary (San Mateo),San Mateo,Elementary School District,3510,11.9,22.71,16.8,N/A,20.4,0.5,5.1,78.28,79.43,11533,81920,9
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4770,17.6,22.05,7,91.9,23.5,1.2,3.5,78.83,83.92,10788,86729,9
Belmont-Redwood Shores Elementary (San Mateo),San Mateo,Elementary School District,4308,8.4,16.37,10.4,N/A,21.7,0.6,5.3,79.24,81.95,12301,86816,9
Reed Union Elementary (Marin),Marin,Elementary School District,1364,5.2,7.48,3,N/A,16.7,1.8,7.5,79.41,84.01,17320,90107,9
Menlo Park City Elementary (San Mateo),San Mateo,Elementary School District,2930,8.4,13.28,7.8,N/A,16.6,0.4,3.1,82.51,84.08,18015,76081,9
Mendocino County Office of Education (Mendocino),Mendocino,County Office of Education (COE),74,92.4,92.41,21.6,42.1,10.6,18.3,70.2,0,4,14708,69626,8
Imperial County Office of Education (Imperial),Imperial,County Office of Education (COE),761,67.9,82.13,47.3,28.4,14.6,1.1,38.8,1.16,10.84,14708,71652,8
San Diego County Office of Education (San Diego),San Diego,County Office of Education (COE),5880,45.4,50.3,20.8,24.3,14.1,3.7,14.8,2.89,13.46,14708,94856,8
Sutter County Office of Education (Sutter),Sutter,County Office of Education (COE),430,70.9,73.72,19.5,32.6,8.5,16.4,37.6,4.48,10.29,14708,67594,8
Amador County Office of Education (Amador),Amador,County Office of Education (COE),193,49.7,50.78,4.1,46.2,6.7,5.4,25.9,6.41,12,14708,76081,8
Peninsula Union (Humboldt),Humboldt,Elementary School District,35,94.3,94.29,N/A,N/A,11.7,10.6,28.9,8.33,20.83,17720,76081,8
Orick Elementary (Humboldt),Humboldt,Elementary School District,24,70.8,70.83,N/A,N/A,10.4,21.4,58.3,9.09,45.45,29690,59391,8
Golden Feather Union Elementary (Butte),Butte,Elementary School District,61,86.9,86.89,1.6,N/A,11.7,22.4,48.5,11.76,23.53,30885,76081,8
Ravenswood City Elementary (San Mateo),San Mateo,Elementary School District,3436,85.6,91.97,53.9,N/A,21.5,3.9,16.4,11.92,17.98,18217,72029,8
Glenn County Office of Education (Glenn),Glenn,County Office of Education (COE),437,58.6,63.62,15.3,84.5,9.6,3.3,36.7,12.5,43.08,14708,76081,8
Konocti Unified (Lake),Lake,Unified School District,3575,84.2,86.29,21.7,58.6,22.2,10.1,29.2,14.41,27.35,13401,61054,8
Adelanto Elementary (San Bernardino),San Bernardino,Elementary School District,8671,78.8,82.06,15.1,N/A,24.3,6.7,18.9,16.76,27.76,12450,82719,8
Earlimart Elementary (Tulare),Tulare,Elementary School District,1704,94.4,98,70.7,N/A,20.4,4.2,9.1,17.65,29.41,13229,73305,8
Biggs Unified (Butte),Butte,Unified School District,624,64.3,66.03,10.6,94.8,18.2,4.6,22.9,18.03,36.73,11889,57050,8
Kelseyville Unified (Lake),Lake,Unified School District,1705,80.2,81.09,14.8,86.7,18.5,7,14.9,18.2,32.91,13772,61193,8
Tulare County Office of Education (Tulare),Tulare,County Office of Education (COE),3186,52.9,55.52,9,3,12.4,5.5,20.1,18.29,26.34,14708,91658,8
Greenfield Union Elementary (Monterey),Monterey,Elementary School District,3616,88.8,93.1,60.4,N/A,21.1,3.6,11.3,19.13,28.13,13076,72299,8
Palo Verde Unified (Riverside),Riverside,Unified School District,3018,75.6,76.99,9.9,90.3,22.3,5.7,13.5,20.18,34,12712,78008,8
Lakeport Unified (Lake),Lake,Unified School District,1472,64.9,66.44,8.3,90.9,20.2,11.7,18.6,21.23,29.28,13333,62141,8
Fallbrook Union High (San Diego),San Diego,High School District,2154,58.2,60.35,14.7,84,21.2,6,20.4,21.39,49.31,14847,78547,8
Hornbrook Elementary (Siskiyou),Siskiyou,Elementary School District,45,77.8,77.78,N/A,N/A,11.3,4.7,5.2,21.43,33.33,18404,49815,8
Big Valley Joint Unified (Lassen),Lassen,Unified School District,127,70.9,70.87,7.9,95.2,13.7,7.5,14.2,21.54,33.85,19904,55205,8
San Jacinto Unified (Riverside),Riverside,Unified School District,11568,76.6,78.81,17.6,93.8,20.2,3.4,12.5,22.36,36,12859,79783,8
Salinas Union High (Monterey),Monterey,High School District,15818,72.9,76.18,21.5,84.5,21.8,6.4,11.4,22.67,38.78,12822,79950,8
Montague Elementary (Siskiyou),Siskiyou,Elementary School District,163,82.8,82.82,0.6,N/A,20.4,0.5,13.1,22.73,27.27,9964,76081,8
Corcoran Joint Unified (Kings),Kings,Unified School District,3318,87.4,88.16,12.4,87.4,19.6,5.4,12.1,23.64,37.56,12734,75061,8
El Dorado County Office of Education (El Dorado),El Dorado,County Office of Education (COE),1484,30.1,31.71,2.6,33.3,15.6,4.9,18.1,23.9,40.78,14708,74374,8
Bangor Union Elementary (Butte),Butte,Elementary School District,98,74.5,74.49,7.1,N/A,21.8,5.5,17.4,24,33.33,13202,76081,8
Caliente Union Elementary (Kern),Kern,Elementary School District,49,69.4,69.39,N/A,N/A,16.3,0,34.6,24.14,34.48,16772,43236,8
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,10658,64,67.4,26.9,90.8,18.6,3.4,14.2,24.89,36.06,13071,67488,8
Patterson Joint Unified (Stanislaus),Stanislaus,Unified School District,6077,76,79.96,35.2,89,21,7,12,25.59,38.67,13217,75464,8
Washington Unified (Fresno),Fresno,Unified School District,2978,89.4,90.9,37.1,88.7,20.6,6.8,15.9,26.23,36.86,14187,67030,8
Gorman Joint (Los Angeles),Los Angeles,Elementary School District,1374,42,43.19,3.7,N/A,20.1,0.1,4,26.92,43.14,16467,76081,8
Oakland Unified (Alameda),Alameda,Unified School District,50202,73,76.32,31.2,72.3,16.8,4.4,28.7,27,33.3,16406,63134,8
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1883,72.3,73.23,18.9,86,17.1,4.5,15.6,27.25,41.89,13973,57388,8
South Fork Union (Kern),Kern,Elementary School District,253,70.8,70.75,1.6,N/A,21.8,1.4,11.3,27.71,43.98,12066,57957,8
Alisal Union (Monterey),Monterey,Elementary School District,8835,85,93.02,71.8,N/A,24.7,1.1,8,28.53,36.41,11452,74617,8
Maple Elementary (Kern),Kern,Elementary School District,292,54.7,55.09,11.3,N/A,26.5,0.3,1.3,29.02,33.68,9398,76081,8
Luther Burbank (Santa Clara),Santa Clara,Elementary School District,516,84.1,92.44,62.8,N/A,22.4,0.9,7,29.23,36.05,13362,91744,8
San Benito High (San Benito),San Benito,High School District,3108,59.1,60.59,12.7,89.8,27,5,12,29.62,56.07,12517,80955,8
Mark Twain Union Elementary (Calaveras),Calaveras,Elementary School District,785,59.4,60.13,6.6,N/A,19.9,4.4,16.2,30.25,40.63,10992,64201,8
Monroe Elementary (Fresno),Fresno,Elementary School District,166,97.5,97.52,21.7,N/A,15.1,1.6,6.5,30.3,42.42,14889,76081,8
Briggs Elementary (Ventura),Ventura,Elementary School District,526,75.3,82.13,41.1,N/A,18.1,2.4,5.2,31.38,48.01,11282,68190,8
Columbia Union (Tuolumne),Tuolumne,Elementary School District,487,60,60.16,2.1,N/A,20.3,9.3,16.3,31.46,40.19,11350,62006,8
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,2354,54.1,56.1,18.9,87.8,21.6,4.8,12.4,31.46,41.58,12864,58079,8
Snelling-Merced Falls Union Elementary (Merced),Merced,Elementary School District,78,73.1,73.08,23.1,N/A,16.6,6,12.2,31.91,43.48,15845,76081,8
Shasta Union Elementary (Shasta),Shasta,Elementary School District,114,52.6,54.39,1.8,N/A,14.6,0,8.5,34.78,50.72,13249,56063,8
Natomas Unified (Sacramento),Sacramento,Unified School District,15290,56.2,59.16,12.4,94.1,19.3,5,9.9,34.87,47.12,12512,68588,8
Roseland (Sonoma),Sonoma,Elementary School District,2912,90.6,93.65,51.7,N/A,21.6,3.4,7.7,35.99,37.67,23410,68429,8
Modoc County Office of Education (Modoc),Modoc,County Office of Education (COE),17,88.2,88.24,17.6,N/A,1.9,0,52.9,37.2,48.3,14708,55205,8
Fall River Joint Unified (Shasta),Shasta,Unified School District,1200,60.6,61.92,9.1,85.4,18.3,5.9,22.6,37.85,37.85,14525,63568,8
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,8945,35.3,39.63,15.2,84,22.4,5,12.6,39.18,48.96,11556,81305,8
Whittier City Elementary (Los Angeles),Los Angeles,Elementary School District,6072,77.5,79.15,15.6,N/A,24.4,1.9,9.1,40.11,48.25,11979,81174,8
Gold Oak Union Elementary (El Dorado),El Dorado,Elementary School District,482,40.9,41.29,1.5,N/A,19.7,3.6,18,41.04,51.31,10537,59481,8
Lagunitas Elementary (Marin),Marin,Elementary School District,231,6.5,9.09,4.3,N/A,19.3,0.8,13.5,41.51,64.22,18114,79957,8
Chicago Park Elementary (Nevada),Nevada,Elementary School District,183,53.9,53.85,N/A,N/A,20.1,3.5,17.2,42.62,51.64,16492,58633,8
Mendocino Unified (Mendocino),Mendocino,Unified School District,536,44.6,46.27,4.9,83.3,13,7.1,19.9,45.49,55.04,17492,76081,8
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,668,60.9,61.23,1.6,93.5,17,9.8,14.1,45.79,48.6,13861,56250,8
Golden Valley Unified (Madera),Madera,Unified School District,2007,43,43.71,4.8,85.6,20.7,5.5,7.9,46.51,59.74,10959,65410,8
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,5251,21.7,23.21,2.5,98.5,21.6,1.8,6,47.25,61.72,12503,71804,8
Campbell Union High (Santa Clara),Santa Clara,High School District,8271,25.3,27.93,6.7,90.6,23.2,3.1,11.4,47.36,67.2,13731,86460,8
Oak Valley Union Elementary (Tulare),Tulare,Elementary School District,551,76.8,78.77,26.9,N/A,19.7,0.7,3.9,48.39,50.27,10733,70774,8
Vallecito Union (Calaveras),Calaveras,Elementary School District,584,43.5,45.03,4.8,N/A,17.4,4,15.4,49.06,56.42,15144,69346,8
Oak Grove Union Elementary (Sonoma),Sonoma,Elementary School District,1241,32,34.03,5.8,N/A,9.7,2.1,22.8,49.2,60.93,13618,72313,8
North County Joint Union Elementary (San Benito),San Benito,Elementary School District,720,43.5,46.67,18.8,N/A,20.6,0.1,0,49.9,65.73,9829,74575,8
College Elementary (Santa Barbara),Santa Barbara,Elementary School District,362,43.8,49.03,19.1,N/A,34.8,0.8,6.6,50.39,68.25,23098,76081,8
Columbia Elementary (Shasta),Shasta,Elementary School District,1378,33.7,34.81,2,N/A,22.3,1.8,4.7,50.65,59,12940,67279,8
Spreckels Union Elementary (Monterey),Monterey,Elementary School District,981,16.3,18.14,6,N/A,20,0.5,5.7,52.08,65.87,9953,66059,8
General Shafter Elementary (Kern),Kern,Elementary School District,159,71.1,76.1,27,N/A,15.9,0,13.5,53.92,56.44,17510,76081,8
Sunnyvale (Santa Clara),Santa Clara,Elementary School District,6664,33.2,47.24,30,N/A,20.2,1.4,5.6,53.96,59.4,15323,91857,8
Cayucos Elementary (San Luis Obispo),San Luis Obispo,Elementary School District,180,43.3,43.89,3.3,N/A,11.8,2.1,15.6,54.39,65.79,19775,68697,8
Island Union Elementary (Kings),Kings,Elementary School District,435,35.2,35.17,3.4,N/A,22.9,1.3,5.8,54.86,63.89,9150,68998,8
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,11138,11.9,15.89,5.6,93.8,22.4,0.8,6.6,59.48,70.26,11323,82404,8
Lake Elementary (Glenn),Glenn,Elementary School District,185,44.9,45.41,11.4,N/A,20.6,2.6,1.6,60.16,65.04,9082,76081,8
Junction Elementary (Shasta),Shasta,Elementary School District,302,33,33.67,2,N/A,21.1,4.6,11.1,60.45,59.55,12071,61690,8
Berkeley Unified (Alameda),Alameda,Unified School District,10194,31.4,34.82,9.3,87.7,17.4,1.4,9.7,61.67,66.72,17043,76974,8
Mountain View Whisman (Santa Clara),Santa Clara,Elementary School District,5110,31.6,38.48,21.7,N/A,18.6,1.3,5.6,63.66,70.71,15861,88471,8
Gratton Elementary (Stanislaus),Stanislaus,Elementary School District,143,22.4,23.08,2.8,N/A,15.1,0,0,65.59,69.89,11382,65965,8
Gravenstein Union Elementary (Sonoma),Sonoma,Elementary School District,761,20.3,23.22,7.5,N/A,16.2,4.2,11,65.92,74.03,11639,73494,8
Santa Clara Elementary (Ventura),Ventura,Elementary School District,59,11.9,11.86,N/A,N/A,23.6,0,0,66.67,84.85,10956,57987,8
Buckeye Union Elementary (El Dorado),El Dorado,Elementary School District,6168,17.7,19.58,3.1,N/A,20.8,1.3,4.7,67.3,73.79,10860,74972,8
Solvang Elementary (Santa Barbara),Santa Barbara,Elementary School District,605,46.8,49.92,22.6,N/A,22.4,2.7,7,67.4,67.63,8764,63704,8
Camptonville Elementary (Yuba),Yuba,Elementary School District,481,54.6,55,1.5,N/A,22.4,1.4,5.4,68.75,68.75,17375,53816,8
Ross Valley Elementary (Marin),Marin,Elementary School District,2094,10.1,11.03,2.9,N/A,19.1,1.8,7.7,69.35,77.71,13202,74843,8
Garfield Elementary (Humboldt),Humboldt,Elementary School District,64,26.6,26.56,N/A,N/A,16.4,0,9.2,70,80,14056,76081,8
Dublin Unified (Alameda),Alameda,Unified School District,12090,8.7,14.74,7.6,93.9,22.6,1.5,4.4,73.42,78.41,10411,89164,8
San Luis Obispo County Office of Education (San Luis Obispo),San Luis Obispo,County Office of Education (COE),375,72.7,76.92,19.5,58.7,13.3,5.7,26,0,12.05,14708,73961,7
San Joaquin County Office of Education (San Joaquin),San Joaquin,County Office of Education (COE),4940,57.7,63.26,14.2,36,18.1,6.9,25,0.45,10.26,14708,64728,7
Fresno County Office of Education (Fresno),Fresno,County Office of Education (COE),3945,82.4,83.61,14.6,11.7,14.2,5.4,30.7,1.42,4.27,14708,76081,7
Ventura County Office of Education (Ventura),Ventura,County Office of Education (COE),3328,41.7,45.84,9.6,44.7,13.1,2.4,31.5,2.61,5.26,14708,74136,7
Napa County Office of Education (Napa),Napa,County Office of Education (COE),103,71.7,80.53,24.3,58.8,1.9,14.2,47.3,3.85,11.54,14708,76081,7
Bridgeville Elementary (Humboldt),Humboldt,Elementary School District,29,82.8,82.76,N/A,N/A,8.5,2.7,26.5,5.56,27.78,20010,76081,7
Monterey County Office of Education (Monterey),Monterey,County Office of Education (COE),1851,46.1,53.74,18.2,43,13.6,3.9,17.9,9.52,31.09,14708,77759,7
Stony Creek Joint Unified (Glenn),Glenn,Unified School District,62,96.8,96.77,N/A,84.5,6.5,17.2,53,10.53,21.05,30102,76081,7
Butte County Office of Education (Butte),Butte,County Office of Education (COE),1336,53.9,54.24,1.3,29.6,12.3,2.4,15.8,10.69,34.97,14708,64875,7
Kern County Superintendent of Schools (Kern),Kern,County Office of Education (COE),5057,70.7,73.94,24.6,32.1,15.3,4.1,24.8,12.5,23.64,14708,67937,7
Tehama County Department of Education (Tehama),Tehama,County Office of Education (COE),245,70.8,76.4,5.3,46.2,10.3,0,20.5,12.78,23.31,14708,68272,7
Vineland Elementary (Kern),Kern,Elementary School District,680,99.9,99.85,60.9,N/A,18.4,2.9,7.9,14.02,24.71,11734,76081,7
Elverta Joint Elementary (Sacramento),Sacramento,Elementary School District,301,70.4,72.09,13.6,N/A,25.5,1.2,23.5,15.18,26.7,12527,76081,7
Chowchilla Union High (Madera),Madera,High School District,1113,71.2,72.06,11.1,87.4,22,6.7,15.8,17.05,42.42,12571,67836,7
Southern Kern Unified (Kern),Kern,Unified School District,3557,66.7,69.64,14.6,90.5,19.1,7.1,18.4,17.68,32.6,12551,70140,7
Princeton Joint Unified (Glenn),Glenn,Unified School District,140,67.9,71.43,19.3,94.1,11.7,5.8,13.9,17.72,36.25,16276,76081,7
